host_unix,host_time,seq,up_ms,temp_c,press_hpa,alt_baro_m,alt_fused_m,vel_m_s,az_m_s2,lax_m_s2,lay_m_s2,laz_m_s2,gx_m_s2,gy_m_s2,gz_m_s2,heading,roll,pitch,calib,vstate,elev,servo_deg
1782883804.009184,14:30:04.009,9149,94.398,24.82,1010.28,0.47,0.491,-0.213,0.003,-30.298,0.038,-1.119,0.052,-18.431,2.571,455.68,-235.43,3.94,0,214,1,0.0
1782883804.009201,14:30:04.009,9150,94.883,0.0,42949671.36,0.0,2525.606,3472.289,336312.321,-19.968,-23.543,0.394,-10.752,0.001,-7.168,0.01,245.76,-0.01,255,0,0,0.0
1782883804.009211,14:30:04.009,9151,129.636,0.38,34722.89,504084.481,-1542868.48,-704642.678,-503316.479,0.001,24.576,-0.001,0.255,0.0,-23.04,98.65,-243.2,135.63,0,1,184,97.39
1782883804.009222,14:30:04.009,9152,139.966,-235.43,35903246.18,-503316.479,1610612.737,16777.215,-1509949.44,9.865,-24.32,13.563,0.256,3.0,0.05,24.82,-300.44,0.01,214,1,0,-84.48
1782883804.114488,14:30:04.114,9155,94.458,24.82,1010.28,0.47,0.476,-0.12,0.0,-30.298,0.038,-1.119,0.052,-18.431,2.059,455.68,-235.43,3.94,0,214,1,0.0
1782883804.114530,14:30:04.114,9156,94.934,0.0,42949671.76,0.0,2525.606,3472.289,336312.321,-19.968,-23.543,0.394,-10.752,0.001,-9.728,0.01,-307.2,-0.01,255,0,0,0.0
1782883804.114547,14:30:04.114,9157,129.696,0.38,34722.89,504084.481,-1542868.48,-704642.678,-671088.639,0.001,-30.72,-0.001,0.255,0.0,-23.04,98.65,-243.2,135.63,0,1,184,99.95
1782883804.114559,14:30:04.114,9158,140.026,-235.43,35903246.18,-687865.855,-2013265.919,-268435.457,-1493172.225,9.865,-24.32,13.563,0.256,3.0,0.05,24.82,-300.44,0.01,214,1,0,-107.52
1782883804.114852,14:30:04.114,9161,94.518,24.82,1010.28,0.47,0.469,-0.09,0.0,-30.298,0.038,-1.119,0.052,-18.431,2.059,455.68,-235.43,3.94,0,214,1,0.0
1782883804.114866,14:30:04.114,9162,94.987,0.0,42949672.06,0.0,2525.606,3472.289,353089.537,-19.968,-23.543,0.394,-10.752,0.001,-11.52,0.01,-230.4,-0.01,255,0,0,0.0
